,bzip2_amd64_darwin_clang_bb422561.json,bzip2_amd64_darwin_gcc_61bd47af.json,bzip2_amd64_darwin_go_e1d42f63.json,bzip2_amd64_darwin_rs-pure_b656f970.json,bzip2_amd64_darwin_rs-sys_26d20788.json,bzip2_amd64_darwin_tgo_6170c260.json,bzip2_amd64_linux_clang_ad366643.json,bzip2_amd64_linux_gcc_ccc4cf10.json,bzip2_amd64_linux_go_cf343d1a.json,bzip2_amd64_linux_rs-pure_f4511389.json,bzip2_amd64_linux_rs-sys_9751c6e7.json,bzip2_amd64_linux_tgo_cc1b5a2d.json,bzip2_amd64_windows_clang.exe_fb68290e.json,bzip2_amd64_windows_gcc.exe_2a5000a8.json,bzip2_amd64_windows_go.exe_8d915129.json,bzip2_amd64_windows_msvc.exe_4eddc4d6.json,bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,bzip2_arm64_darwin_clang_34392dac.json,bzip2_arm64_darwin_gcc_3894c17c.json,bzip2_arm64_darwin_go_293ce2f9.json,bzip2_arm64_darwin_rs-pure_9d252a8f.json,bzip2_arm64_darwin_rs-sys_b370b5cd.json,bzip2_arm64_darwin_tgo_f357c0bc.json,bzip2_arm64_linux_clang_375294fc.json,bzip2_arm64_linux_gcc_a5af3ca9.json,bzip2_arm64_linux_go_3b3448f2.json,bzip2_arm64_linux_rs-pure_927550bd.json,bzip2_arm64_linux_rs-sys_e5a5c625.json,bzip2_arm64_linux_tgo_d72531be.json,bzip2_arm64_windows_clang.exe_797eefb0.json,bzip2_arm64_windows_gcc.exe_4b1549dd.json,bzip2_arm64_windows_go.exe_ed2de88c.json,bzip2_arm64_windows_msvc.exe_22595510.json,bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json
bzip2_amd64_linux_rs-sys_9751c6e7.json,,,,,,,,,,,1.00,0.08,0.24,0.02,0.26,0.02,0.07,0.07,0.01,0.01,0.24,0.48,0.47,0.10,0.01,0.01,0.24,0.46,0.46,0.12,0.28,0.01,0.19,0.02,0.07,0.08
bzip2_amd64_linux_tgo_cc1b5a2d.json,,,,,,,,,,,,1.00,0.14,0.07,0.12,0.09,0.01,0.01,0.04,0.04,0.11,0.09,0.09,0.34,0.05,0.05,0.11,0.09,0.09,0.34,0.12,0.07,0.15,0.09,0.02,0.02
bzip2_amd64_windows_clang.exe_fb68290e.json,,,,,,,,,,,,,1.00,0.03,0.32,0.04,0.05,0.05,0.02,0.02,0.27,0.27,0.27,0.21,0.02,0.02,0.26,0.27,0.27,0.24,0.52,0.02,0.27,0.04,0.05,0.05
bzip2_amd64_windows_gcc.exe_2a5000a8.json,,,,,,,,,,,,,,1.00,0.02,0.37,0.00,0.00,0.27,0.34,0.02,0.02,0.02,0.05,0.33,0.47,0.02,0.02,0.02,0.04,0.02,0.62,0.03,0.36,0.00,0.00
bzip2_amd64_windows_go.exe_8d915129.json,,,,,,,,,,,,,,,1.00,0.03,0.05,0.05,0.01,0.01,0.35,0.26,0.27,0.14,0.01,0.02,0.40,0.26,0.27,0.16,0.31,0.02,0.46,0.03,0.05,0.05
bzip2_amd64_windows_msvc.exe_4eddc4d6.json,,,,,,,,,,,,,,,,1.00,0.00,0.00,0.22,0.23,0.02,0.02,0.02,0.06,0.24,0.27,0.02,0.02,0.02,0.05,0.03,0.34,0.04,0.56,0.00,0.00
bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,,,,,,,,,,,,,,,,,1.00,0.97,0.00,0.00,0.04,0.08,0.07,0.03,0.00,0.00,0.04,0.08,0.08,0.03,0.06,0.00,0.03,0.00,0.74,0.72
bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,,,,,,,,,,,,,,,,,,1.00,0.00,0.00,0.04,0.08,0.08,0.03,0.00,0.00,0.04,0.08,0.08,0.04,0.06,0.00,0.03,0.00,0.75,0.74
bzip2_arm64_darwin_clang_34392dac.json,,,,,,,,,,,,,,,,,,,1.00,0.48,0.01,0.01,0.01,0.03,0.68,0.38,0.01,0.01,0.01,0.03,0.02,0.30,0.02,0.23,0.00,0.00
bzip2_arm64_darwin_gcc_3894c17c.json,,,,,,,,,,,,,,,,,,,,1.00,0.01,0.01,0.01,0.03,0.44,0.57,0.01,0.01,0.01,0.02,0.01,0.44,0.02,0.23,0.00,0.00
bzip2_arm64_darwin_go_293ce2f9.json,,,,,,,,,,,,,,,,,,,,,1.00,0.24,0.24,0.15,0.01,0.02,0.75,0.24,0.25,0.17,0.28,0.02,0.36,0.03,0.05,0.05
bzip2_arm64_darwin_rs-pure_9d252a8f.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.98,0.15,0.01,0.01,0.23,0.81,0.81,0.16,0.33,0.02,0.19,0.02,0.09,0.09
bzip2_arm64_darwin_rs-sys_b370b5cd.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.15,0.01,0.01,0.24,0.80,0.81,0.16,0.34,0.02,0.19,0.02,0.09,0.09
bzip2_arm64_darwin_tgo_f357c0bc.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.04,0.12,0.15,0.15,0.62,0.17,0.05,0.16,0.06,0.03,0.04
bzip2_arm64_linux_clang_375294fc.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.49,0.01,0.01,0.01,0.03,0.02,0.36,0.02,0.25,0.00,0.00
bzip2_arm64_linux_gcc_a5af3ca9.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.01,0.01,0.03,0.02,0.59,0.02,0.29,0.00,0.00
bzip2_arm64_linux_go_3b3448f2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.24,0.24,0.14,0.28,0.02,0.40,0.03,0.04,0.04
bzip2_arm64_linux_rs-pure_927550bd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.97,0.16,0.33,0.02,0.19,0.02,0.09,0.09
bzip2_arm64_linux_rs-sys_e5a5c625.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.17,0.34,0.02,0.19,0.02,0.09,0.09
bzip2_arm64_linux_tgo_d72531be.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.20,0.04,0.18,0.05,0.04,0.04
bzip2_arm64_windows_clang.exe_797eefb0.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.23,0.03,0.07,0.07
bzip2_arm64_windows_gcc.exe_4b1549dd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.35,0.00,0.00
bzip2_arm64_windows_go.exe_ed2de88c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.04,0.04,0.04
bzip2_arm64_windows_msvc.exe_22595510.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00,0.00
bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.97
bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"34633m 32.21s (2,078,012,209,576,295 nsec)"
